Timestamp,exp_inlet,exp_outlet,exp_heatgen,heatgen_m1,heatgen_m2,heatgen_m3,heatgen_m4,heatgen_m5,heatgen_m6,exp_flowrate,Tamb
48329,48.85413634,63.68228958,71.43101948,11.96825465,10.63442546,8.019618029,12.74468353,11.51599376,16.54804405,1.109231078,21.88403544
48339,48.87667841,64.02954019,73.90223925,12.08737962,11.29574594,7.97470732,13.2539855,11.37971618,17.9107047,1.109241322,21.84848587
48349,48.90209859,64.3776965,76.35870943,11.62367964,11.21829608,7.992329509,13.45223559,12.70575142,19.3664172,1.109176966,21.8637248
48359,48.90663242,64.41324005,75.50312056,11.68621262,11.39947584,7.96978663,12.95047021,11.79593872,19.70123654,1.109170177,21.90269958
48369,48.92588167,64.18803582,75.20357377,11.68960569,11.52998218,8.145860187,13.27278968,12.11473541,18.45060061,1.109163963,21.95170086
48379,48.93512331,64.46732154,76.45396782,11.97329123,11.95817823,8.347024683,12.53950931,12.02073342,19.61523095,1.10912031,21.98251965
48389,48.93530258,64.15348215,73.95765737,11.71109801,10.78573479,8.095302896,13.36918991,11.69624297,18.30008879,1.10910658,21.9830661
48399,48.95518814,64.06742241,74.53790822,12.53328211,11.75964348,8.250816111,12.82649836,11.60133949,17.56632868,1.109073541,21.99505815
48409,48.98303158,64.07607476,73.84511429,11.39698633,11.58151193,8.006840342,13.2406771,11.8982492,17.72084939,1.109031477,21.98959962
48419,49.01182486,64.13994286,73.48860367,11.93740742,11.2405557,7.868760054,13.36408337,11.39363678,17.68416034,1.109005742,21.99399322
48429,49.01900998,64.28444572,75.16320929,11.54726887,11.16549884,8.069179392,13.4397341,12.77653999,18.16498809,1.108966905,22.03932124
48439,49.04172441,64.53769786,76.00747351,12.34726593,11.17084966,8.059274244,13.17015747,11.90825297,19.35167325,1.108912543,22.03531308
48449,49.05921544,64.10965947,72.90865947,11.92713092,10.83866555,7.915883784,12.96474828,12.04654005,17.21569087,1.108844497,22.04562915
48459,49.08639091,64.47530935,75.37628248,12.14844077,10.72707446,8.125715278,13.50967764,11.83029747,19.03507687,1.108719329,22.03370899
48469,49.09912674,64.30012243,75.15847664,12.26191511,11.63487333,7.919591036,13.37313185,12.07604748,17.89291783,1.108574848,22.0163259
48479,49.11306611,64.64025321,75.67825034,12.07706004,11.45936283,8.172397655,12.62562132,11.92440512,19.41940337,1.108415088,22.00139594
48489,49.15295233,64.47285485,74.33006395,11.77952627,11.29377717,8.02679235,13.19439298,11.64554353,18.39003165,1.108217088,22.01102644
48499,49.17182763,64.53930561,74.64071547,11.94245856,10.8938424,8.76221067,12.8731502,11.62607866,18.54297498,1.107960997,21.99536479
48509,49.19980547,64.74890798,75.75215176,12.13423909,11.73302396,7.847465033,12.83167828,11.65804817,19.54769722,1.107697415,22.01402124
48519,49.22357223,64.41995064,74.60382475,11.8386941,11.7298838,8.04759112,12.50525085,12.60311709,17.87928778,1.10744376,22.00371639
48529,49.26773764,64.56442898,73.59918683,11.29141639,10.86610956,8.300394358,13.04690871,11.52926761,18.56509021,1.107211374,21.97794569
48539,49.29272263,64.21631569,74.5121906,12.67458458,11.32958237,8.359006015,13.30992103,11.76006707,17.07902954,1.106937079,21.94808639
48549,49.3427579,64.61269142,74.60631906,11.64365329,11.36517449,7.957004381,12.93926163,12.1003135,18.60091177,1.106616646,21.95258356
48559,49.384229,64.5437592,73.54333589,11.80877588,10.91809326,7.989801305,12.93681065,11.46508064,18.42477416,1.106296418,21.97869104
48569,49.46028549,64.35065736,73.27859544,11.73706763,11.03341109,8.188149549,13.45151813,11.52235141,17.34609764,1.106018155,21.99069828
48579,49.53657878,64.35366572,73.36215334,11.25899768,11.5159659,7.866662273,13.83401227,11.64911765,17.23739758,1.105723302,21.98212185
48589,49.60478241,64.73357779,74.96983787,11.52464808,11.28476754,7.711840135,13.3834585,12.35511673,18.71000689,1.105536988,21.95972326
48599,49.68116348,64.36897083,72.20251449,11.46382495,11.17528653,7.593059771,13.21380907,11.49927411,17.25726006,1.105323187,21.94526784
48609,49.76159389,64.63533901,74.36843979,11.72312035,10.92001493,7.767178378,13.42636918,12.27968951,18.25206744,1.105058581,21.92849433
48619,49.86211307,64.38772148,72.61414277,11.35456453,11.4626706,7.887708885,12.94946117,12.17349782,16.78623978,1.104861043,21.93980703
48629,49.95481536,64.51214494,71.72918732,11.32400238,11.06042756,7.887085069,12.49839171,11.6391934,17.3200872,1.104684633,21.93681154
48639,50.05509211,64.53659637,71.47964939,11.26696101,11.3386181,7.647994232,12.55006694,11.59199149,17.08401762,1.104490819,21.97232126
48649,50.16561645,64.51180158,70.81536268,11.41030504,10.99324857,7.773750589,12.58759653,11.39627857,16.6541834,1.104303341,21.96904083
48659,50.28381114,65.09367094,74.78844106,11.94447496,11.53394503,7.582927663,12.58235251,11.72077319,19.4239677,1.104187102,21.93612639
48669,50.37936649,64.8762519,72.59543094,11.92727145,11.16233634,7.437926491,12.67836753,11.37381625,18.01571288,1.104080279,21.92989551
48679,50.47478577,65.0385041,72.96531965,11.48156688,11.55987647,7.516454017,12.70652383,11.18795492,18.51294354,1.103932953,21.96283105
48689,50.55763607,64.88620542,70.52296202,10.8503739,10.54484346,7.215741603,12.86352556,11.44611029,17.6023672,1.103865302,22.04704307
48699,50.67355191,64.98358883,70.71918101,11.10683555,10.86631518,7.448683539,12.83884173,11.04891971,17.40958529,1.103804377,22.09300556
