Timestamp,exp_inlet,exp_outlet,exp_heatgen,heatgen_m6,heatgen_m5,heatgen_m4,heatgen_m3,heatgen_m2,heatgen_m1,exp_flowrate
52218,55.2286398,58.84783221,53.09575401,9.69362085,6.894492322,3.764634452,11.63327299,10.8263327,10.2834007,3.167057235
52228,55.28726406,58.97743315,53.70611339,9.916175622,6.922563519,3.647966419,11.58792254,10.54651343,11.08497186,3.166741058
52238,55.33789355,58.99541038,55.92626831,9.989583416,7.867939614,4.573344021,11.62769827,11.15460754,10.71309545,3.166570619
52248,55.4117126,59.03040535,53.48395309,9.776250411,7.167515508,3.649977375,11.82022777,10.57000395,10.49997809,3.166220425
52258,55.47630682,59.11596064,53.72210837,10.23722219,6.928743288,3.492890794,12.02188105,10.66154083,10.37983022,3.165985465
52268,55.54302423,59.24907873,55.58693624,10.53410562,7.02348897,4.287125914,11.82873584,10.48322445,11.43025545,3.165648388
52278,55.6150403,59.32398417,55.50072613,10.23163455,6.992998644,3.587356354,12.2174706,11.66065012,10.81061587,3.165192177
52288,55.6779674,59.33507288,53.35195408,9.550876685,7.299608027,3.566679098,11.990176,10.93759733,10.00701694,3.164976449
52298,55.74080425,59.50929377,56.52226937,10.43511658,7.869809852,3.58362846,11.58863628,11.30141882,11.74365937,3.164717056
52308,55.82367645,59.5032723,53.32344875,9.565308338,6.842130577,3.994552824,11.86459991,10.21583827,10.84101884,3.16433814
52318,55.86295694,59.57611751,54.29194219,10.27799231,6.850110271,4.138987084,11.37372398,10.46674184,11.18438671,3.164094544
52328,55.93658262,59.58853023,53.97081841,10.76473005,6.640158037,3.587642619,11.75095732,10.87307534,10.35425505,3.163686729
52338,55.99928714,59.6627304,53.72012133,9.69986022,7.163724013,3.146789342,12.13758999,10.76471597,10.80744179,3.163435726
52348,56.07527372,59.72722841,53.61943084,10.48804186,7.13620445,2.923072468,11.86595774,10.67575,10.53040433,3.163043203
52358,56.13281402,59.77988071,53.85768041,10.08454705,7.256724693,3.603256133,11.56863041,10.5320772,10.81244493,3.162716093
52368,56.17839446,59.8647125,54.59890663,10.33740952,6.923047048,4.008439424,11.70084237,10.76860984,10.86055843,3.162546522
52378,56.22595298,59.88472484,54.7898651,10.16063547,7.646419835,3.968912263,12.38121999,10.29481192,10.33786563,3.161403565
52388,56.29992222,60.05061087,55.39767178,9.91576261,7.619846902,4.203056135,11.64532709,10.24782072,11.76585833,3.161359539
52398,56.38201925,60.08203647,54.04754723,9.946719398,6.687151212,4.497910434,11.54609902,10.15724084,11.21242633,3.161207263
52408,56.49750097,60.12278849,54.14322905,10.11429332,6.578749209,4.13243557,11.52364701,10.97107674,10.82302721,3.160837895
52418,56.5716644,60.17578105,53.72127921,10.34090094,7.095651941,3.619694756,11.6895253,10.31585464,10.65965164,3.160569811
52428,56.63468799,60.25104308,53.03954985,10.37147431,7.106080789,3.899705788,11.41006485,9.981691188,10.27053293,3.160272759
52438,56.68928024,60.32691507,54.01390745,9.75655344,6.595892698,4.350361544,11.68012326,10.59596778,11.03500873,3.159984594
52448,56.74356338,60.41795042,54.57856443,9.790240456,6.991226357,3.965144792,11.2043433,11.56545798,11.06215154,3.15968198
52458,56.79397935,60.46320368,55.15438453,10.52189446,7.574338069,3.912474225,11.50068928,10.93975943,10.70522907,3.159417984
52468,56.87201094,60.49626021,53.09157446,9.669505362,6.896418808,4.221096878,10.87129272,10.91468389,10.5185768,3.159063497
52478,56.93360719,60.48185543,53.99159419,10.13037109,7.395480614,3.850498483,11.28589578,11.35223706,9.977111166,3.158770626
52488,56.99143341,60.63742512,54.55234024,10.28564503,7.114380297,3.962862838,11.6805383,10.43257423,11.07633956,3.158616358
52498,57.04965539,60.660793,51.94016794,9.927704889,7.023642136,3.228172119,11.34947161,10.01513904,10.39603815,3.15829762
52508,57.11079251,60.67621793,52.26497949,9.622464514,6.7106719,3.441575011,11.4894879,10.73296089,10.26781928,3.158055283
52518,57.16826189,60.83005832,53.09583417,9.887117079,7.079212135,2.894905626,11.5479877,10.24587119,11.44074044,3.157694566
52528,57.24609077,60.85510919,53.50932288,9.796219111,6.933611922,3.44902697,11.95617288,10.57323707,10.80105493,3.157378795
52538,57.30437208,60.86128814,53.54901163,10.31722626,7.238866867,3.945368113,11.52444516,10.81429489,9.708810341,3.15714438
52548,57.34940175,60.97722471,53.33782257,10.18840748,7.073173193,3.502944796,10.97995622,10.55287636,11.04046452,3.156827646
52558,57.44829797,61.06113916,52.3973933,9.871174023,6.924494048,3.666775089,11.28361064,10.21037792,10.44096158,3.156450955
52568,57.51563565,61.13941904,53.97548344,9.522169102,6.992783051,3.931827492,11.93127197,10.86661503,10.73081679,3.156170507
52578,57.58266805,61.16690879,51.99191067,9.55567832,6.475111861,3.472348127,11.61514578,10.24219174,10.63143485,3.15591507
52588,57.62040923,61.24225949,53.85915695,9.897462495,7.126318859,3.794989877,11.81816073,10.22907542,10.99314957,3.155598582
52598,57.68501118,61.19720569,51.79017338,10.07631644,6.530757207,3.843462389,11.47591518,10.29078541,9.572936752,3.155287019
52608,57.74548216,61.27774271,52.00226398,9.908890839,6.803730437,3.623582836,11.89511562,10.17080332,9.600140919,3.154956941
52618,57.80754363,61.39157977,52.6462613,9.50297776,6.742363546,3.152961133,11.24779975,11.4441049,10.55605421,3.154765817
52628,57.87504966,61.44517065,53.11297829,10.12439476,7.107860007,3.830380762,11.73370153,10.69874376,9.617897464,3.154528466
52638,57.94082616,61.5359642,52.43400463,10.32187787,7.152496574,3.849752974,11.39965126,9.633187981,10.07703796,3.154121032
52648,58.00580401,61.59409809,52.54518061,10.12188502,6.877645964,3.036204165,11.35797451,10.3812023,10.77026864,3.153877173
52658,58.06750554,61.65261158,52.06893228,9.787335214,6.830484075,3.211590571,11.18046046,10.97611472,10.08294724,3.153587958
52668,58.11883521,61.75791161,52.44752245,9.922221275,7.120471291,3.801942398,10.77218199,10.03228028,10.79842522,3.153262045
52678,58.17589037,61.75704121,52.15403203,9.508308302,6.911818859,3.325810362,11.75021665,10.24395991,10.41391795,3.152956794
52688,58.24275357,61.81021489,52.88681661,9.854490413,7.020492241,4.097634724,11.14669163,10.40961846,10.35788913,3.15271758
52698,58.30011453,61.83571213,51.9505163,9.353197341,6.935938792,3.572717574,11.81622401,10.57812603,9.694312547,3.152463967
52708,58.36086279,61.9908208,51.75142322,9.986710174,6.289339361,2.771228473,11.48286272,10.18458211,11.03670038,3.152076718
52718,58.42094358,61.97856759,52.38929074,10.05861984,6.916507577,3.948884434,10.87382037,10.71881914,9.872639382,3.151852271
52728,58.48189799,62.0482211,52.63439096,9.634552133,7.376525787,3.585580839,11.27581824,10.22835476,10.53355921,3.151655263
52738,58.5435075,62.11789672,53.88906574,9.982439583,7.660054225,3.99665057,11.67355108,10.30682189,10.2695484,3.151242757
52748,58.59809055,62.16675022,53.04034256,10.26846458,7.325465648,3.964644514,11.26100479,10.20234443,10.0184186,3.151117732
52758,58.65742998,62.27170523,53.41284742,10.35108036,7.108523536,3.50059125,11.36010839,10.5347098,10.55783409,3.150899983
52768,58.72639891,62.31995828,52.76397738,9.825160182,7.009332273,3.459644363,11.89892198,10.36592995,10.20498863,3.150497093
52778,58.76898182,62.27752689,52.29075021,9.834249964,7.244401115,3.738321289,11.26462682,10.68107774,9.528073274,3.150241826
52788,58.82994143,62.34833748,51.46308844,10.11400451,6.70541532,3.51342106,11.25157112,10.1533861,9.725290337,3.150003613
52798,58.8971962,62.48787501,53.86142117,9.665505142,6.833887368,4.160222997,12.0322776,10.60052142,10.56900664,3.149726798
52808,58.95895052,62.54538362,51.79429046,9.750653337,7.152084278,3.230454306,11.33731484,10.20778252,10.11600118,3.149436072
52818,58.99965785,62.59563605,52.08138985,10.2605012,7.151373102,3.468834277,10.8473602,9.962396666,10.39092442,3.149242163
52828,59.07081659,62.6325595,51.88508597,9.81207296,6.908634806,3.84210131,11.47513515,9.704965832,10.14217591,3.148930194
52838,59.12322227,62.66729898,53.43286182,9.580363975,7.293025096,3.82436411,11.98527503,11.06877493,9.681058683,3.14865932
52848,59.1792406,62.7977406,52.13183029,9.714825495,6.570274467,3.651302119,10.94019212,10.23102424,11.02421185,3.148375722
52858,59.22270392,62.8733229,53.14640684,9.480842983,7.342844127,3.944112564,11.41610257,10.05168436,10.91082024,3.148166461
52868,59.27462474,62.76406682,52.06217941,10.46231737,7.318826224,3.282478828,11.20183675,10.3979176,9.398802633,3.147896024
52878,59.32473565,62.91188465,53.69766962,10.24170345,7.452951948,3.876928646,11.26652173,10.41382768,10.44573616,3.147639878
52888,59.29250672,63.27656346,73.81730522,13.63219054,11.43961302,5.046555312,15.19219603,14.64907938,13.85767094,3.147858075
52898,59.18991785,63.77181,82.44191759,16.5335427,15.03780997,6.058748351,15.86842153,15.26219913,13.6811959,3.148619351
52908,59.0925406,64.32423802,44.69810445,8.854251105,8.325110722,4.492176029,8.695543255,7.655211996,6.675811342,1.585521742
52918,58.95654151,65.07942838,48.29836551,9.720221685,8.165622174,4.831328452,9.370297801,8.452254005,7.758641389,1.585710421
52928,58.8150301,65.46020325,50.43328154,9.670294301,8.101675411,5.487642885,10.24776211,8.43238102,8.493525822,1.585884026
52938,58.68193604,65.72387265,51.57243127,10.0398376,8.364997158,5.876262429,9.937824799,8.973942814,8.379566465,1.586055867
52948,58.58142661,65.83758459,54.22356988,9.866152436,9.00728375,6.251818466,10.63888898,9.916129539,8.543296709,1.586174568
52958,58.51044063,65.96878868,53.34329098,10.00566156,8.417124821,5.751307154,10.69900495,9.327848026,9.142344474,1.586293244
52968,58.43219152,66.03281086,54.93126454,9.94531544,8.639144263,6.264144606,10.90188149,9.508972883,9.671805861,1.586361162
52978,58.37792638,65.95865885,55.31691465,10.22174969,8.659593534,6.129574535,10.86157759,10.47983174,8.964587553,1.586417784
52988,58.31681454,65.98730604,55.32257985,10.14853548,8.895856123,6.494467337,10.49994526,10.20063962,9.083136025,1.58650277
52998,58.2738857,66.28186709,56.56479528,10.42326428,8.152909997,6.653710247,10.85292561,9.367284147,11.114701,1.586548167
53008,58.21345806,65.94771584,56.04437268,9.898105597,8.78882516,6.662575847,11.25228443,10.35238333,9.090198311,1.586598788
53018,58.16501042,66.07747128,56.39372559,10.4751176,9.052729294,6.102345853,11.15433659,9.750900491,9.858295765,1.586695899
53028,58.13451918,66.1135583,56.80639694,9.845847633,8.865810861,6.300571962,11.58525321,10.16580653,10.04310675,1.586762513
53038,58.09435303,66.10347898,58.34871724,11.05908836,9.139782113,7.065293867,10.81726824,10.49885058,9.768434086,1.586842818
53048,58.06035313,66.04384664,57.30802885,10.42172857,8.81098553,6.491894087,11.20644709,10.29032481,10.08664876,1.586892647
53058,58.0296297,66.01832899,56.20686638,9.985097125,8.395025278,6.514955626,11.22047041,10.07302584,10.01829211,1.586909175
53068,57.99373319,66.09291206,57.15294363,10.19276788,8.785062986,6.738161542,10.44236007,10.19647434,10.79811681,1.587005437
