Timestamp,exp_inlet,exp_outlet,exp_heatgen,heatgen_m1,heatgen_m2,heatgen_m3,heatgen_m4,heatgen_m5,heatgen_m6
42046.55336,58.27390461,64.64859204,61.75722003,10.85735509,9.223910993,5.164254926,11.63306261,16.21007943,8.668556978
42046.55348,58.28645114,64.53494581,61.5490351,10.70916861,9.378611956,4.992718469,11.33820946,17.27693057,7.853396025
42046.55359,58.30345777,64.68793425,60.99155747,10.23841485,9.230771386,4.866257753,11.30778531,16.60236983,8.745958342
42046.55371,58.35247377,64.63890839,62.67312465,11.20866455,9.07801053,5.22048178,11.62054123,17.11243534,8.43299121
42046.55382,58.37327507,64.61686003,60.95999662,10.72050808,9.000879675,4.95424083,11.30149802,16.90294436,8.079925659
42046.55394,58.41600116,64.68794517,61.73213374,11.04539544,9.453791498,4.983695574,11.3905136,16.67767299,8.181064638
42046.55406,58.47647956,64.75029911,61.73127632,10.39296708,9.102461965,5.17987182,11.59450184,16.94393474,8.517538873
42046.55417,58.51178805,64.7330908,61.77356452,10.59211591,9.097174529,5.138938395,11.72588769,17.12415983,8.095288175
42046.55429,58.55502341,64.72356761,62.15534023,11.04314007,8.941550042,5.145976953,11.82825994,16.77317279,8.423240434
42046.5544,58.58595304,64.76137309,61.60487403,10.44354694,9.200832872,5.289844519,11.41016101,16.92190034,8.338588345
42046.55452,58.60826749,64.74688763,61.35581813,10.58605716,9.254374152,4.65859158,11.73842077,16.60158528,8.516789193
42046.55463,58.64732179,64.80109073,61.45278044,11.00699969,9.107877277,4.880528876,11.53770303,16.61368677,8.305984795
42046.55475,58.6718416,64.67631754,61.26112187,11.00996821,9.391114462,4.998881191,11.57888356,16.80904954,7.473224908
42046.55487,58.70092147,64.88952451,61.02242368,11.19930084,8.495355944,4.960954714,11.16097478,16.44353391,8.762303487
42046.55498,58.732715,64.89816682,61.54563073,10.605519,8.892725313,5.618336986,11.63892762,16.41987915,8.370242659
42046.5551,58.73688549,65.06387924,63.24086781,10.97744642,8.808471311,5.157199792,11.329482,17.38373695,9.584531331
42046.55521,58.79451411,64.87288779,60.43493611,10.64040751,9.046150869,5.306732228,11.58008839,16.24352755,7.618029566
42046.55533,58.81778261,65.01956573,61.41423131,10.64253645,8.779838003,5.127781347,11.58701937,16.88000946,8.397046676
