Timestamp,exp_heatgen,heatgen_m6,heatgen_m5,heatgen_m4,heatgen_m3,heatgen_m2,heatgen_m1,exp_flowrate,exp_inlet,m6_in,m6_out,m5_in,m5_out,m4_in,m4_out,m3_in,m3_out,m2_in,m2_out,m1_in,m1_out,exp_outlet,Tamb,DNI
35659,-5.159771425,0.456860789,-3.174247399,-2.558315554,1.215184255,-0.032839958,-1.066413558,2.046406556,23.28054571,23.62393001,23.67849944,24.66622797,24.28708213,24.47101775,24.16544148,24.43363309,24.57877996,24.60323842,24.59931587,24.58224109,24.45486405,24.45486405,24.60185399,0.96354473
35669,-5.138706081,0.476059977,-3.20905879,-2.569924146,1.192011839,0.061816851,-1.089611812,2.046414293,23.26881284,23.62123673,23.67809918,24.66027802,24.27697561,24.4694513,24.16248961,24.4292973,24.57167581,24.5935963,24.60097994,24.57236804,24.44222059,24.44222059,24.45214372,1.035264888
35679,-5.145849279,0.406944896,-3.172289482,-2.527348034,1.213227798,-0.01931724,-1.047067218,2.046378837,23.29003397,23.62832636,23.67693427,24.66024577,24.28132867,24.47657277,24.1746913,24.44103448,24.58594961,24.60925423,24.60694687,24.59471775,24.46964982,24.46964982,24.64501778,1.003042788
35689,-5.106375383,0.552855626,-3.137610108,-2.575729963,1.17076227,-0.030908706,-1.085744501,2.046425754,23.26407692,23.60922256,23.6752574,24.6497799,24.27501369,24.47210505,24.16445161,24.4349512,24.57479079,24.59532679,24.59163495,24.58171308,24.45202828,24.45202828,24.81220014,0.964584153
35699,-5.047981006,0.51251948,-3.141351945,-2.575638482,1.134016231,0.032839511,-1.010365801,2.046362828,23.27692526,23.61900749,23.68022634,24.65892047,24.28369579,24.47732412,24.16967215,24.44109353,24.57654823,24.59085422,24.5947768,24.57977863,24.45909359,24.45909359,24.68683794,1.018634127
35709,-5.136879173,0.522110112,-3.116241561,-2.4944688,1.105031788,-0.079200252,-1.074110459,2.046367873,23.2897735,23.62604072,23.68840499,24.65837055,24.28614615,24.48254321,24.18458743,24.45162051,24.58361278,24.61291659,24.60345639,24.59330389,24.46500507,24.46500507,24.77626514,0.958347617
35719,-5.238406803,0.385829665,-3.228288802,-2.562099835,1.193900025,-0.015453684,-1.012294172,2.046355887,23.29281507,23.62448797,23.67057428,24.66071617,24.27510585,24.47842783,24.17239197,24.43804338,24.5806515,24.6044177,24.6025718,24.57995927,24.45904348,24.45904348,24.71424316,1.039422578
35729,-4.923651729,0.395429098,-3.135606485,-2.473265254,1.236416839,-0.030907991,-0.915717936,2.046388141,23.28200123,23.6293586,23.67659078,24.65453031,24.27999654,24.46970251,24.17428236,24.43901023,24.58669453,24.60053891,24.59684709,24.57146551,24.46208721,24.46208721,24.49277885,1.002003365
35739,-5.116644587,0.380073219,-3.332629316,-2.428767732,1.170720375,0.042497905,-0.948539038,2.046357457,23.28565667,23.62245035,23.66784903,24.66279569,24.26472249,24.47589242,24.18578294,24.43758484,24.5774241,24.59472969,24.59980595,24.58134672,24.4680464,24.4680464,24.99545034,1.011358169
35749,-5.032648163,0.543209111,-3.235966391,-2.591040215,1.19194071,0.081130357,-1.021921735,2.04633089,23.29296068,23.62994229,23.69482794,24.66478392,24.27825181,24.48480389,24.1753074,24.44995817,24.59233399,24.60525535,24.61494627,24.60110207,24.47903481,24.47903481,24.81635943,0.972899533
35759,-4.779320821,0.504829121,-3.120058767,-2.482862031,1.309793559,0.015453458,-1.006476161,2.046352542,23.29286885,23.62848369,23.68878425,24.66676873,24.29408558,24.47963537,24.18306376,24.44525103,24.60170257,24.61670043,24.61854631,24.60216404,24.481943,24.481943,24.76851334,0.977057224
35769,-4.886137159,0.581620943,-3.224429332,-2.538925471,1.247993241,0.069541378,-1.021937917,2.046361616,23.27081121,23.61646024,23.68593308,24.66204314,24.2768949,24.47490897,24.17164207,24.43729367,24.58636265,24.605514,24.61382051,24.60020704,24.47813967,24.47813967,24.9967739,1.021752394
35779,-5.07289565,0.481788458,-3.143288601,-2.573692236,1.166849657,0.025112071,-1.029664997,2.046374527,23.28119447,23.64145233,23.69900012,24.66364577,24.28819191,24.4894346,24.18201686,24.45343519,24.59281094,24.61911496,24.6221145,24.60780892,24.48481936,24.48481936,24.81037688,0.983293759
35789,-4.99603896,0.548970897,-3.181891278,-2.664498528,1.203548166,0.08885724,-0.991025457,2.046349538,23.27642066,23.63099189,23.69656518,24.66510753,24.28503809,24.48443527,24.16616717,24.44428181,24.58804282,24.61250107,24.62311486,24.5954265,24.47705083,24.47705083,24.77192775,0.973938956
35799,-4.735009048,0.504826966,-3.089208598,-2.600774052,1.385158317,0.081131374,-1.016143055,2.046378225,23.26942133,23.63643742,23.69673697,24.65719413,24.28820058,24.47998201,24.16933001,24.43659758,24.60204917,24.61681629,24.62650711,24.60804834,24.48667414,24.48667414,24.83922189,1.042540846
35809,-5.024818965,0.533597445,-3.081371431,-2.679919165,1.217056063,-0.015453249,-0.998728629,2.04633325,23.26477979,23.64376265,23.70750012,24.6714779,24.30341239,24.49172973,24.17161713,24.44834577,24.59372141,24.62302495,24.62117909,24.61356484,24.4942681,24.4942681,24.85258054,1.061250452
35819,-4.931760989,0.458752161,-3.166457307,-2.660663426,1.226733867,0.177714442,-0.967840727,2.046373321,23.27016197,23.64521423,23.70001046,24.66947007,24.29124858,24.48487557,24.16706927,24.45256833,24.5990971,24.6200941,24.64132143,24.60994176,24.4943368,24.4943368,24.85149579,0.997845675
35829,-4.694904021,0.591194569,-3.127788988,-2.554348342,1.379338021,0.131353111,-1.114652393,2.046362829,23.26468105,23.63542771,23.70604405,24.67184073,24.2982361,24.49140034,24.18629141,24.44824713,24.61300475,24.62592586,24.64161558,24.61946533,24.48632358,24.48632358,24.61254328,0.980175491
35839,-4.806537367,0.524015367,-3.143261564,-2.575611821,1.294341407,0.059881785,-0.96590254,2.046373127,23.25520224,23.6400157,23.70260738,24.67229517,24.29684428,24.49416246,24.18651522,24.45493244,24.6095367,24.63168716,24.63883982,24.61692024,24.50154678,24.50154678,24.66837287,1.048777381
35849,-4.592060263,0.527841646,-3.025364025,-2.550453878,1.325227309,0.088854938,-0.958166253,2.046357538,23.26784485,23.64752781,23.710577,24.67476977,24.31339855,24.50125266,24.19660812,24.46433057,24.62262524,24.64500616,24.65561963,24.61847203,24.50402177,24.50402177,24.90639051,0.996806253
35859,-4.895486962,0.543204342,-3.093018869,-2.533082312,1.234444214,-0.017384928,-1.029649408,2.046379866,23.25415658,23.64541287,23.71029639,24.67724964,24.30780128,24.50442521,24.20185895,24.47073394,24.61818322,24.64656319,24.64448663,24.62718183,24.50419445,24.50419445,24.78845195,1.002003365
35869,-4.957195485,0.547021088,-3.100635769,-2.612219479,1.263378086,0.059879721,-1.114619132,2.046324207,23.25956881,23.65147328,23.71681447,24.68703856,24.31667031,24.51375416,24.20172681,24.47706326,24.62797267,24.6432009,24.65035348,24.63143365,24.49829336,24.49829336,25.00515479,1.02798893
35879,-5.07883743,0.525922551,-3.098766231,-2.625775468,1.153289622,0.027043033,-1.060550937,2.046352627,23.25241602,23.64621091,23.70903103,24.68012577,24.30998598,24.51676282,24.20312058,24.47753361,24.61529114,24.63698003,24.64021025,24.62198244,24.49530231,24.49530231,24.81762702,0.997845675
35889,-4.749051159,0.623807419,-3.017584151,-2.546530463,1.25179574,-0.023179501,-1.037360203,2.046342178,23.26332512,23.64236664,23.71687924,24.68502201,24.32457737,24.51819847,24.21402029,24.48012313,24.62964773,24.64579885,24.64303011,24.62480235,24.50089166,24.50089166,24.74131632,1.009279323
35899,-4.893595399,0.573907251,-3.102568669,-2.616067761,1.274966847,0.007726443,-1.031559509,2.046326746,23.24542725,23.63813449,23.70668713,24.68814294,24.31754426,24.52201213,24.2095255,24.47932166,24.63161516,24.64384386,24.64476678,24.62192439,24.49870565,24.49870565,24.52939626,1.009279323
35909,-4.77550181,0.543173554,-3.085133942,-2.598641195,1.282673014,0.100441012,-1.018014252,2.046312184,23.26608681,23.65657632,23.72145831,24.69631673,24.327798,24.52903341,24.21862615,24.4888816,24.64209667,24.66032414,24.67232181,24.63794354,24.5163419,24.5163419,24.7336924,1.020712972
35919,-4.456948251,0.558540747,-2.878494568,-2.567782165,1.348371951,0.069537567,-0.987121783,2.046351921,23.26101493,23.65428944,23.72100575,24.67994615,24.33611714,24.52535187,24.21863667,24.49004592,24.6511056,24.66010393,24.66841002,24.64072281,24.52281357,24.52281357,24.72862728,0.965623575
35929,-4.720011826,0.623786181,-3.114130118,-2.598645557,1.29233974,0.032836654,-0.956198726,2.046315242,23.25710698,23.65224302,23.72675406,24.69311655,24.32113478,24.52883253,24.21842522,24.48314241,24.63751195,24.66035401,24.66427634,24.63658902,24.52237142,24.52237142,24.83061615,0.992648562
35939,-4.863207454,0.637241278,-3.077517559,-2.662478472,1.292369142,0.023179497,-1.07600134,2.046361544,23.24010657,23.64751887,23.7236354,24.68282923,24.31522914,24.52685083,24.20882589,24.48300674,24.63737629,24.6535273,24.65629602,24.63160801,24.50308293,24.50308293,25.00209995,0.958347617
35949,-5.013290955,0.558533744,-3.139267877,-2.668251869,1.317471649,-0.015452817,-1.066323785,2.046339946,23.23902727,23.65745173,23.72416758,24.69951672,24.32453678,24.52508053,24.20636261,24.47892873,24.63629836,24.65706392,24.65521811,24.63860566,24.51123519,24.51123519,24.83955308,0.986412027
35959,-5.048308796,0.596913917,-3.104493182,-2.708790025,1.240178059,0.044426442,-1.116544006,2.046327947,23.25154481,23.65795272,23.72925344,24.69148386,24.32065552,24.53573745,24.21217542,24.49697044,24.64510836,24.65710619,24.66241288,24.64026305,24.50689308,24.50689308,24.69425248,1.010318746
35969,-4.924296521,0.547020845,-3.098680376,-2.575481078,1.265295427,-0.001931591,-1.060519749,2.046323803,23.24490161,23.65158941,23.71693059,24.695001,24.32486625,24.52333315,24.21569411,24.48918095,24.64031941,24.65416311,24.65393239,24.6387043,24.51202612,24.51202612,24.6276292,1.009279323
35979,-5.206549775,0.548957996,-3.123902463,-2.716614447,1.145572344,0.01738489,-1.077948094,2.046378937,23.23432927,23.64889981,23.71447061,24.6881341,24.31499665,24.52477235,24.2002838,24.48254352,24.61937748,24.64637305,24.6484496,24.62583802,24.4970815,24.4970815,24.84662697,1.008239901
35989,-5.009723949,0.629524243,-3.085073425,-2.695194972,1.220839945,0.079192781,-1.159012521,2.046294623,23.26267271,23.66213263,23.73732984,24.70836511,24.33985044,24.54569864,24.22375529,24.49885543,24.64468581,24.667297,24.67675664,24.65299201,24.51454697,24.51454697,24.75289226,0.984333182
35999,-4.882015425,0.570055615,-3.100648283,-2.5890402,1.251787748,-0.025110968,-0.989059338,2.046340723,23.23210033,23.65220513,23.72029723,24.69144538,24.32107862,24.51862319,24.20936708,24.48631694,24.63584069,24.65199172,24.64899226,24.62845728,24.51031596,24.51031596,24.59107801,1.03214662
36009,-4.907176295,0.583487468,-3.123801847,-2.629588506,1.296212948,0.038631889,-1.072118248,2.04633396,23.23997122,23.65292062,23.72261736,24.69930583,24.32617219,24.52833092,24.21423035,24.48471764,24.63954841,24.65500721,24.65962173,24.63654892,24.50848594,24.50848594,24.32340264,1.022791817
36019,-4.737494155,0.642984041,-3.117981485,-2.513633773,1.367674685,-0.017384285,-1.099153339,2.046331257,23.25334951,23.65153311,23.72833673,24.70620636,24.33376746,24.5324635,24.23221317,24.48977344,24.65314043,24.66098512,24.65890859,24.64598787,24.51469541,24.51469541,24.74242814,0.978096646
36029,-4.632573746,0.533599796,-3.079400785,-2.585193548,1.381239385,0.117828565,-1.000647159,2.046358102,23.24249873,23.6474225,23.71115947,24.69836923,24.33054358,24.52024079,24.21144678,24.46970424,24.63468935,24.65107112,24.66514541,24.64138053,24.52185607,24.52185607,24.91775946,1.017594704
36039,-4.878838952,0.660274964,-3.257186708,-2.643177806,1.29623903,0.133282402,-1.068270833,2.046370771,23.23810244,23.64765416,23.72652164,24.69767025,24.30861098,24.52207999,24.20636189,24.48238945,24.63722055,24.6494492,24.6653693,24.63952786,24.51192674,24.51192674,24.7096675,0.984333182
36049,-5.000578013,0.673723185,-3.177956987,-2.693394916,1.155219605,0.166119239,-1.12428814,2.04635515,23.2403583,23.63454176,23.71501619,24.6920787,24.31248024,24.52433322,24.2026144,24.48048902,24.61847691,24.64478032,24.66462281,24.63855062,24.50425741,24.50425741,24.53587087,0.99576683
36059,-5.06944821,0.581569409,-3.203023599,-2.69334867,1.226678298,0.063742218,-1.045065866,2.046338288,23.25291137,23.65297202,23.72243951,24.70092376,24.318328,24.53410264,24.2123867,24.48333597,24.62986062,24.66262407,24.67023797,24.64555028,24.52071893,24.52071893,24.61255558,1.024870662
36069,-4.943536271,0.531662625,-3.145051315,-2.565834966,1.215081263,0.096579255,-1.075973133,2.046328556,23.2388917,23.65649567,23.72000217,24.69799702,24.32232418,24.51917625,24.21269014,24.48456239,24.62970249,24.65392908,24.66546536,24.6426234,24.51409962,24.51409962,24.37148282,1.031107198
36079,-5.104582559,0.646814326,-3.185601041,-2.598662414,1.164847478,-0.011589467,-1.120391441,2.046318244,23.25022287,23.65445709,23.73171872,24.70146883,24.32095045,24.52334089,24.21293202,24.48941945,24.62855987,24.65901611,24.65763175,24.65094067,24.5171105,24.5171105,24.89271628,1.020712972
36089,-4.926601337,0.612260073,-3.199091916,-2.598638899,1.19380932,0.077262789,-1.012202704,2.046300127,23.25159188,23.65720517,23.73033996,24.70352819,24.32139494,24.52355455,24.21314574,24.49124845,24.63384961,24.6486163,24.65784538,24.64884703,24.52793887,24.52793887,24.79096619,1.02383124
36099,-5.10779907,0.56427729,-3.154631763,-2.606336393,1.238232707,-0.156455047,-0.992885863,2.046292863,23.26549764,23.65840781,23.72581128,24.70680274,24.32997894,24.53305997,24.22173059,24.49036993,24.63827802,24.67334845,24.65465974,24.64381553,24.52521436,24.52521436,24.80808222,1.010318746
36109,-5.048723859,0.671764762,-3.22808983,-2.780243083,1.245962947,0.042493894,-1.000612549,2.046293632,23.25279759,23.64788304,23.72812595,24.69481146,24.30921318,24.53514275,24.20304017,24.48737604,24.63620746,24.66366406,24.66873999,24.64474446,24.52522037,24.52522037,24.98570829,0.986412027
36119,-4.961425683,0.633353458,-3.164257144,-2.666207251,1.274910791,0.027040942,-1.06626648,2.046271402,23.26576523,23.66351634,23.73917181,24.70753141,24.32955388,24.53448101,24.21599665,24.4977908,24.65008172,24.67799942,24.68122952,24.66069514,24.53332725,24.53332725,24.70522425,0.948992814
36129,-4.806331173,0.545081316,-3.146911512,-2.548371347,1.238232043,0.121686885,-1.016048558,2.046286842,23.25478264,23.66065157,23.72576225,24.70071611,24.3248134,24.52789539,24.22348909,24.48774354,24.63565198,24.656879,24.67141466,24.66080134,24.53943301,24.53943301,24.65134156,1.019673549
36139,-4.837302943,0.556585249,-3.216407254,-2.704847785,1.325133929,0.096574789,-0.894341872,2.046262676,23.25768948,23.6644642,23.73094982,24.70869488,24.32448628,24.53218339,24.20908196,24.49064712,24.64893798,24.66924185,24.68077797,24.65609052,24.54925895,24.54925895,24.8095128,1.024870662
36149,-4.908933755,0.577697678,-3.218373004,-2.623708186,1.265260327,0.081123482,-0.990934053,2.046280969,23.25442042,23.66696063,23.73596757,24.70704515,24.32260517,24.53468694,24.22128065,24.49661217,24.64774961,24.67105291,24.68074325,24.65951669,24.54114798,24.54114798,24.83277792,1.03214662
